Cultivar	Block 	SowTreat	PlotNumber 	SowingD	ReadingDate 	DAS 	NumberPlantsUnifoliate(outof10)	NumberPlantsFirstTrifoliate
Denmark	13	S6	100	17/02/2016	17/02/2016	0.00	0	0
Narrikup	14	S6	101	17/02/2016	17/02/2016	0.00	0	0
Antas 	15	S6	102	17/02/2016	17/02/2016	0.00	0	0
Woogenellup	16	S6	103	17/02/2016	17/02/2016	0.00	0	0
Leura	17	S6	104	17/02/2016	17/02/2016	0.00	0	0
Antas 	18	S6	105	17/02/2016	17/02/2016	0.00	0	0
Denmark	19	S6	106	17/02/2016	17/02/2016	0.00	0	0
Narrikup	20	S6	107	17/02/2016	17/02/2016	0.00	0	0
Monti	21	S6	108	17/02/2016	17/02/2016	0.00	0	0
Denmark	1	S6	91	17/02/2016	2/03/2016	14.00	10	4
Monti	1	S6	92	17/02/2016	2/03/2016	14.00	10	3
Woogenellup	1	S6	93	17/02/2016	2/03/2016	14.00	10	3
Leura	1	S6	94	17/02/2016	2/03/2016	14.00	10	4
Antas 	1	S6	95	17/02/2016	2/03/2016	14.00	10	5
Narrikup	1	S6	96	17/02/2016	2/03/2016	14.00	10	4
Leura	2	S6	97	17/02/2016	2/03/2016	14.00	10	4
Monti	2	S6	98	17/02/2016	2/03/2016	14.00	10	4
Woogenellup	2	S6	99	17/02/2016	2/03/2016	14.00	10	4
Denmark	2	S6	100	17/02/2016	2/03/2016	14.00	10	4
Narrikup	2	S6	101	17/02/2016	2/03/2016	14.00	10	4
Antas 	2	S6	102	17/02/2016	2/03/2016	14.00	10	5
Woogenellup	3	S6	103	17/02/2016	2/03/2016	14.00	10	4
Leura	3	S6	104	17/02/2016	2/03/2016	14.00	10	3
Antas 	3	S6	105	17/02/2016	2/03/2016	14.00	10	6
Denmark	3	S6	106	17/02/2016	2/03/2016	14.00	10	6
Narrikup	3	S6	107	17/02/2016	2/03/2016	14.00	10	5
Monti	3	S6	108	17/02/2016	2/03/2016	14.00	10	5
Denmark	1	S6	91	17/02/2016	4/03/2016	16.00	10	9
Monti	1	S6	92	17/02/2016	4/03/2016	16.00	10	6
Woogenellup	1	S6	93	17/02/2016	4/03/2016	16.00	10	6
Leura	1	S6	94	17/02/2016	4/03/2016	16.00	10	10
Antas 	1	S6	95	17/02/2016	4/03/2016	16.00	10	9
Narrikup	1	S6	96	17/02/2016	4/03/2016	16.00	10	9
Leura	2	S6	97	17/02/2016	4/03/2016	16.00	10	10
Monti	2	S6	98	17/02/2016	4/03/2016	16.00	10	9
Woogenellup	2	S6	99	17/02/2016	4/03/2016	16.00	10	9
Denmark	2	S6	100	17/02/2016	4/03/2016	16.00	10	10
Narrikup	2	S6	101	17/02/2016	4/03/2016	16.00	10	9
Antas 	2	S6	102	17/02/2016	4/03/2016	16.00	10	9
Woogenellup	3	S6	103	17/02/2016	4/03/2016	16.00	10	10
Leura	3	S6	104	17/02/2016	4/03/2016	16.00	10	10
Antas 	3	S6	105	17/02/2016	4/03/2016	16.00	10	9
Denmark	3	S6	106	17/02/2016	4/03/2016	16.00	10	10
Narrikup	3	S6	107	17/02/2016	4/03/2016	16.00	10	10
Monti	3	S6	108	17/02/2016	4/03/2016	16.00	10	9
Denmark	1	S6	91	17/02/2016	8/03/2016	20.00	10	10
Monti	1	S6	92	17/02/2016	8/03/2016	20.00	10	6
Woogenellup	1	S6	93	17/02/2016	8/03/2016	20.00	10	10
Leura	1	S6	94	17/02/2016	8/03/2016	20.00	10	9
Antas 	1	S6	95	17/02/2016	8/03/2016	20.00	10	9
Narrikup	1	S6	96	17/02/2016	8/03/2016	20.00	10	10
Leura	2	S6	97	17/02/2016	8/03/2016	20.00	10	8
Monti	2	S6	98	17/02/2016	8/03/2016	20.00	10	8
Woogenellup	2	S6	99	17/02/2016	8/03/2016	20.00	10	10
Denmark	2	S6	100	17/02/2016	8/03/2016	20.00	10	9
Narrikup	2	S6	101	17/02/2016	8/03/2016	20.00	10	7
Antas 	2	S6	102	17/02/2016	8/03/2016	20.00	10	9
Woogenellup	3	S6	103	17/02/2016	8/03/2016	20.00	10	10
Leura	3	S6	104	17/02/2016	8/03/2016	20.00	10	10
Antas 	3	S6	105	17/02/2016	8/03/2016	20.00	10	10
Denmark	3	S6	106	17/02/2016	8/03/2016	20.00	10	10
Narrikup	3	S6	107	17/02/2016	8/03/2016	20.00	10	7
Monti	3	S6	108	17/02/2016	8/03/2016	20.00	10	6
Denmark	1	S6	91	17/02/2016	15/03/2016	27.00	10	10
Monti	1	S6	92	17/02/2016	15/03/2016	27.00	10	10
Woogenellup	1	S6	93	17/02/2016	15/03/2016	27.00	10	10
Leura	1	S6	94	17/02/2016	15/03/2016	27.00	9	8
Antas 	1	S6	95	17/02/2016	15/03/2016	27.00	10	10
Narrikup	1	S6	96	17/02/2016	15/03/2016	27.00	10	10
Leura	2	S6	97	17/02/2016	15/03/2016	27.00	10	10
Monti	2	S6	98	17/02/2016	15/03/2016	27.00	10	10
Woogenellup	2	S6	99	17/02/2016	15/03/2016	27.00	10	10
Denmark	2	S6	100	17/02/2016	15/03/2016	27.00	10	10
Narrikup	2	S6	101	17/02/2016	15/03/2016	27.00	10	10
Antas 	2	S6	102	17/02/2016	15/03/2016	27.00	10	10
Woogenellup	3	S6	103	17/02/2016	15/03/2016	27.00	10	10
Leura	3	S6	104	17/02/2016	15/03/2016	27.00	10	10
Antas 	3	S6	105	17/02/2016	15/03/2016	27.00	10	10
Denmark	3	S6	106	17/02/2016	15/03/2016	27.00	10	10
Narrikup	3	S6	107	17/02/2016	15/03/2016	27.00	10	9
Monti	3	S6	108	17/02/2016	15/03/2016	27.00	10	10
Denmark	1	S6	91	17/02/2016	20/03/2016	32.00	10	10
Monti	1	S6	92	17/02/2016	20/03/2016	32.00	10	10
Woogenellup	1	S6	93	17/02/2016	20/03/2016	32.00	10	10
Leura	1	S6	94	17/02/2016	20/03/2016	32.00	10	10
Antas 	1	S6	95	17/02/2016	20/03/2016	32.00	10	10
Narrikup	1	S6	96	17/02/2016	20/03/2016	32.00	10	10
Leura	2	S6	97	17/02/2016	20/03/2016	32.00	10	10
Monti	2	S6	98	17/02/2016	20/03/2016	32.00	10	10
Woogenellup	2	S6	99	17/02/2016	20/03/2016	32.00	10	10
Denmark	2	S6	100	17/02/2016	20/03/2016	32.00	10	10
Narrikup	2	S6	101	17/02/2016	20/03/2016	32.00	10	10
Antas 	2	S6	102	17/02/2016	20/03/2016	32.00	10	10
Woogenellup	3	S6	103	17/02/2016	20/03/2016	32.00	10	10
Leura	3	S6	104	17/02/2016	20/03/2016	32.00	10	10
Antas 	3	S6	105	17/02/2016	20/03/2016	32.00	10	10
Denmark	3	S6	106	17/02/2016	20/03/2016	32.00	10	10
Narrikup	3	S6	107	17/02/2016	20/03/2016	32.00	10	10
Monti	3	S6	108	17/02/2016	20/03/2016	32.00	10	10
Denmark	1	S7	109	15/03/2016	15/03/2016	0.00	0	0
Antas 	1	S7	110	15/03/2016	15/03/2016	0.00	0	0
Woogenellup	1	S7	111	15/03/2016	15/03/2016	0.00	0	0
Leura	1	S7	112	15/03/2016	15/03/2016	0.00	0	0
Narrikup	1	S7	113	15/03/2016	15/03/2016	0.00	0	0
Monti	1	S7	114	15/03/2016	15/03/2016	0.00	0	0
Woogenellup	2	S7	115	15/03/2016	15/03/2016	0.00	0	0
Leura	2	S7	116	15/03/2016	15/03/2016	0.00	0	0
Narrikup	2	S7	117	15/03/2016	15/03/2016	0.00	0	0
Antas 	2	S7	118	15/03/2016	15/03/2016	0.00	0	0
Denmark	2	S7	119	15/03/2016	15/03/2016	0.00	0	0
Monti	2	S7	120	15/03/2016	15/03/2016	0.00	0	0
Leura	3	S7	121	15/03/2016	15/03/2016	0.00	0	0
Woogenellup	3	S7	122	15/03/2016	15/03/2016	0.00	0	0
Antas 	3	S7	123	15/03/2016	15/03/2016	0.00	0	0
Monti	3	S7	124	15/03/2016	15/03/2016	0.00	0	0
Narrikup	3	S7	125	15/03/2016	15/03/2016	0.00	0	0
Denmark	3	S7	126	15/03/2016	15/03/2016	0.00	0	0
Denmark	1	S7	109	15/03/2016	20/03/2016	5.00	0	0
Antas 	1	S7	110	15/03/2016	20/03/2016	5.00	0	0
Woogenellup	1	S7	111	15/03/2016	20/03/2016	5.00	0	0
Leura	1	S7	112	15/03/2016	20/03/2016	5.00	0	0
Narrikup	1	S7	113	15/03/2016	20/03/2016	5.00	0	0
Monti	1	S7	114	15/03/2016	20/03/2016	5.00	0	0
Woogenellup	2	S7	115	15/03/2016	20/03/2016	5.00	0	0
Leura	2	S7	116	15/03/2016	20/03/2016	5.00	0	0
Narrikup	2	S7	117	15/03/2016	20/03/2016	5.00	0	0
Antas 	2	S7	118	15/03/2016	20/03/2016	5.00	0	0
Denmark	2	S7	119	15/03/2016	20/03/2016	5.00	0	0
Monti	2	S7	120	15/03/2016	20/03/2016	5.00	0	0
Leura	3	S7	121	15/03/2016	20/03/2016	5.00	0	0
Woogenellup	3	S7	122	15/03/2016	20/03/2016	5.00	0	0
Antas 	3	S7	123	15/03/2016	20/03/2016	5.00	0	0
Monti	3	S7	124	15/03/2016	20/03/2016	5.00	0	0
Narrikup	3	S7	125	15/03/2016	20/03/2016	5.00	0	0
Denmark	3	S7	126	15/03/2016	20/03/2016	5.00	0	0
Denmark	1	S7	109	15/03/2016	24/03/2016	9.00	0	0
Antas 	1	S7	110	15/03/2016	24/03/2016	9.00	0	0
Woogenellup	1	S7	111	15/03/2016	24/03/2016	9.00	0	0
Leura	1	S7	112	15/03/2016	24/03/2016	9.00	0	0
Narrikup	1	S7	113	15/03/2016	24/03/2016	9.00	0	0
Monti	1	S7	114	15/03/2016	24/03/2016	9.00	0	0
Woogenellup	2	S7	115	15/03/2016	24/03/2016	9.00	0	0
Leura	2	S7	116	15/03/2016	24/03/2016	9.00	0	0
Narrikup	2	S7	117	15/03/2016	24/03/2016	9.00	0	0
Antas 	2	S7	118	15/03/2016	24/03/2016	9.00	0	0
Denmark	2	S7	119	15/03/2016	24/03/2016	9.00	0	0
Monti	2	S7	120	15/03/2016	24/03/2016	9.00	0	0
Leura	3	S7	121	15/03/2016	24/03/2016	9.00	0	0
Woogenellup	3	S7	122	15/03/2016	24/03/2016	9.00	0	0
Antas 	3	S7	123	15/03/2016	24/03/2016	9.00	0	0
Monti	3	S7	124	15/03/2016	24/03/2016	9.00	0	0
Narrikup	3	S7	125	15/03/2016	24/03/2016	9.00	0	0
Denmark	3	S7	126	15/03/2016	24/03/2016	9.00	0	0
Denmark	1	S7	109	15/03/2016	31/03/2016	16.00	10	8
Antas 	1	S7	110	15/03/2016	31/03/2016	16.00	10	7
Woogenellup	1	S7	111	15/03/2016	31/03/2016	16.00	10	5
Leura	1	S7	112	15/03/2016	31/03/2016	16.00	10	8
Narrikup	1	S7	113	15/03/2016	31/03/2016	16.00	10	7
Monti	1	S7	114	15/03/2016	31/03/2016	16.00	10	6
Woogenellup	2	S7	115	15/03/2016	31/03/2016	16.00	10	9
Leura	2	S7	116	15/03/2016	31/03/2016	16.00	10	6
Narrikup	2	S7	117	15/03/2016	31/03/2016	16.00	10	9
Antas 	2	S7	118	15/03/2016	31/03/2016	16.00	10	2
Denmark	2	S7	119	15/03/2016	31/03/2016	16.00	10	10
Monti	2	S7	120	15/03/2016	31/03/2016	16.00	10	10
Leura	3	S7	121	15/03/2016	31/03/2016	16.00	10	9
Woogenellup	3	S7	122	15/03/2016	31/03/2016	16.00	10	8
Antas 	3	S7	123	15/03/2016	31/03/2016	16.00	10	3
Monti	3	S7	124	15/03/2016	31/03/2016	16.00	10	8
Narrikup	3	S7	125	15/03/2016	31/03/2016	16.00	10	7
Denmark	3	S7	126	15/03/2016	31/03/2016	16.00	10	9
Denmark	1	S7	109	15/03/2016	7/04/2016	23.00	10	10
Antas 	1	S7	110	15/03/2016	7/04/2016	23.00	10	10
Woogenellup	1	S7	111	15/03/2016	7/04/2016	23.00	10	10
Leura	1	S7	112	15/03/2016	7/04/2016	23.00	10	10
Narrikup	1	S7	113	15/03/2016	7/04/2016	23.00	10	10
Monti	1	S7	114	15/03/2016	7/04/2016	23.00	10	10
Woogenellup	2	S7	115	15/03/2016	7/04/2016	23.00	10	10
Leura	2	S7	116	15/03/2016	7/04/2016	23.00	10	10
Narrikup	2	S7	117	15/03/2016	7/04/2016	23.00	10	10
Antas 	2	S7	118	15/03/2016	7/04/2016	23.00	10	10
Denmark	2	S7	119	15/03/2016	7/04/2016	23.00	10	10
Monti	2	S7	120	15/03/2016	7/04/2016	23.00	10	10
Leura	3	S7	121	15/03/2016	7/04/2016	23.00	10	10
Woogenellup	3	S7	122	15/03/2016	7/04/2016	23.00	10	10
Antas 	3	S7	123	15/03/2016	7/04/2016	23.00	10	10
Monti	3	S7	124	15/03/2016	7/04/2016	23.00	10	10
Narrikup	3	S7	125	15/03/2016	7/04/2016	23.00	10	10
Denmark	3	S7	126	15/03/2016	7/04/2016	23.00	10	10
Denmark	1	S7	109	15/03/2016	14/04/2016	30.00	10	10
Antas 	1	S7	110	15/03/2016	14/04/2016	30.00	10	10
Woogenellup	1	S7	111	15/03/2016	14/04/2016	30.00	10	10
Leura	1	S7	112	15/03/2016	14/04/2016	30.00	10	10
Narrikup	1	S7	113	15/03/2016	14/04/2016	30.00	10	10
Monti	1	S7	114	15/03/2016	14/04/2016	30.00	10	10
Woogenellup	2	S7	115	15/03/2016	14/04/2016	30.00	10	10
Leura	2	S7	116	15/03/2016	14/04/2016	30.00	10	10
Narrikup	2	S7	117	15/03/2016	14/04/2016	30.00	10	10
Antas 	2	S7	118	15/03/2016	14/04/2016	30.00	10	10
Denmark	2	S7	119	15/03/2016	14/04/2016	30.00	10	10
Monti	2	S7	120	15/03/2016	14/04/2016	30.00	10	10
Leura	3	S7	121	15/03/2016	14/04/2016	30.00	10	10
Woogenellup	3	S7	122	15/03/2016	14/04/2016	30.00	10	10
Antas 	3	S7	123	15/03/2016	14/04/2016	30.00	10	10
Monti	3	S7	124	15/03/2016	14/04/2016	30.00	10	10
Narrikup	3	S7	125	15/03/2016	14/04/2016	30.00	10	10
Denmark	3	S7	126	15/03/2016	14/04/2016	30.00	10	10
Denmark	1	S7	109	15/03/2016	21/04/2016	37.00	10	10
Antas 	1	S7	110	15/03/2016	21/04/2016	37.00	10	10
Woogenellup	1	S7	111	15/03/2016	21/04/2016	37.00	10	10
Leura	1	S7	112	15/03/2016	21/04/2016	37.00	10	10
Narrikup	1	S7	113	15/03/2016	21/04/2016	37.00	10	10
Monti	1	S7	114	15/03/2016	21/04/2016	37.00	10	10
Woogenellup	2	S7	115	15/03/2016	21/04/2016	37.00	10	10
Leura	2	S7	116	15/03/2016	21/04/2016	37.00	10	10
Narrikup	2	S7	117	15/03/2016	21/04/2016	37.00	10	10
Antas 	2	S7	118	15/03/2016	21/04/2016	37.00	10	10
Denmark	2	S7	119	15/03/2016	21/04/2016	37.00	10	10
Monti	2	S7	120	15/03/2016	21/04/2016	37.00	10	10
Leura	3	S7	121	15/03/2016	21/04/2016	37.00	10	10
Woogenellup	3	S7	122	15/03/2016	21/04/2016	37.00	10	10
Antas 	3	S7	123	15/03/2016	21/04/2016	37.00	10	10
Monti	3	S7	124	15/03/2016	21/04/2016	37.00	10	10
Narrikup	3	S7	125	15/03/2016	21/04/2016	37.00	10	10
Denmark	3	S7	126	15/03/2016	21/04/2016	37.00	10	10
Denmark	1	S7	109	15/03/2016	28/04/2016	44.00	10	10
Antas 	1	S7	110	15/03/2016	28/04/2016	44.00	10	10
Woogenellup	1	S7	111	15/03/2016	28/04/2016	44.00	10	10
Leura	1	S7	112	15/03/2016	28/04/2016	44.00	10	10
Narrikup	1	S7	113	15/03/2016	28/04/2016	44.00	10	10
Monti	1	S7	114	15/03/2016	28/04/2016	44.00	10	10
Woogenellup	2	S7	115	15/03/2016	28/04/2016	44.00	10	10
Leura	2	S7	116	15/03/2016	28/04/2016	44.00	10	10
Narrikup	2	S7	117	15/03/2016	28/04/2016	44.00	10	10
Antas 	2	S7	118	15/03/2016	28/04/2016	44.00	10	10
Denmark	2	S7	119	15/03/2016	28/04/2016	44.00	10	10
Monti	2	S7	120	15/03/2016	28/04/2016	44.00	10	10
Leura	3	S7	121	15/03/2016	28/04/2016	44.00	10	10
Woogenellup	3	S7	122	15/03/2016	28/04/2016	44.00	10	10
Antas 	3	S7	123	15/03/2016	28/04/2016	44.00	10	10
Monti	3	S7	124	15/03/2016	28/04/2016	44.00	10	10
Narrikup	3	S7	125	15/03/2016	28/04/2016	44.00	10	10
Denmark	3	S7	126	15/03/2016	28/04/2016	44.00	10	10
Antas 	1	S8	127	4/05/2016	4/05/2016	0.00	0	0
Leura	1	S8	128	4/05/2016	4/05/2016	0.00	0	0
Denmark	1	S8	129	4/05/2016	4/05/2016	0.00	0	0
Monti	1	S8	130	4/05/2016	4/05/2016	0.00	0	0
Narrikup	1	S8	131	4/05/2016	4/05/2016	0.00	0	0
Woogenellup	1	S8	132	4/05/2016	4/05/2016	0.00	0	0
Denmark	2	S8	133	4/05/2016	4/05/2016	0.00	0	0
Woogenellup	2	S8	134	4/05/2016	4/05/2016	0.00	0	0
Narrikup	2	S8	135	4/05/2016	4/05/2016	0.00	0	0
Leura	2	S8	136	4/05/2016	4/05/2016	0.00	0	0
Monti	2	S8	137	4/05/2016	4/05/2016	0.00	0	0
Antas 	2	S8	138	4/05/2016	4/05/2016	0.00	0	0
Leura	3	S8	139	4/05/2016	4/05/2016	0.00	0	0
Monti	3	S8	140	4/05/2016	4/05/2016	0.00	0	0
Woogenellup	3	S8	141	4/05/2016	4/05/2016	0.00	0	0
Antas 	3	S8	142	4/05/2016	4/05/2016	0.00	0	0
Denmark	3	S8	143	4/05/2016	4/05/2016	0.00	0	0
Narrikup	3	S8	144	4/05/2016	4/05/2016	0.00	0	0
Antas 	1	S8	127	4/05/2016	3/06/2016	30.00	NA	0
Leura	1	S8	128	4/05/2016	3/06/2016	30.00	NA	0
Denmark	1	S8	129	4/05/2016	3/06/2016	30.00	NA	0
Monti	1	S8	130	4/05/2016	3/06/2016	30.00	NA	0
Narrikup	1	S8	131	4/05/2016	3/06/2016	30.00	NA	0
Woogenellup	1	S8	132	4/05/2016	3/06/2016	30.00	NA	1
Denmark	2	S8	133	4/05/2016	3/06/2016	30.00	NA	0
Woogenellup	2	S8	134	4/05/2016	3/06/2016	30.00	NA	1
Narrikup	2	S8	135	4/05/2016	3/06/2016	30.00	NA	0
Leura	2	S8	136	4/05/2016	3/06/2016	30.00	NA	1
Monti	2	S8	137	4/05/2016	3/06/2016	30.00	NA	2
Antas 	2	S8	138	4/05/2016	3/06/2016	30.00	NA	1
Leura	3	S8	139	4/05/2016	3/06/2016	30.00	NA	0
Monti	3	S8	140	4/05/2016	3/06/2016	30.00	NA	3
Woogenellup	3	S8	141	4/05/2016	3/06/2016	30.00	NA	1
Antas 	3	S8	142	4/05/2016	3/06/2016	30.00	NA	0
Denmark	3	S8	143	4/05/2016	3/06/2016	30.00	NA	1
Narrikup	3	S8	144	4/05/2016	3/06/2016	30.00	NA	0
Antas 	1	S8	127	4/05/2016	7/06/2016	34.00	NA	1
Leura	1	S8	128	4/05/2016	7/06/2016	34.00	NA	0
Denmark	1	S8	129	4/05/2016	7/06/2016	34.00	NA	0
Monti	1	S8	130	4/05/2016	7/06/2016	34.00	NA	0
Narrikup	1	S8	131	4/05/2016	7/06/2016	34.00	NA	2
Woogenellup	1	S8	132	4/05/2016	7/06/2016	34.00	NA	0
Denmark	2	S8	133	4/05/2016	7/06/2016	34.00	NA	3
Woogenellup	2	S8	134	4/05/2016	7/06/2016	34.00	NA	6
Narrikup	2	S8	135	4/05/2016	7/06/2016	34.00	NA	3
Leura	2	S8	136	4/05/2016	7/06/2016	34.00	NA	4
Monti	2	S8	137	4/05/2016	7/06/2016	34.00	NA	6
Antas 	2	S8	138	4/05/2016	7/06/2016	34.00	NA	7
Leura	3	S8	139	4/05/2016	7/06/2016	34.00	NA	1
Monti	3	S8	140	4/05/2016	7/06/2016	34.00	NA	6
Woogenellup	3	S8	141	4/05/2016	7/06/2016	34.00	NA	0
Antas 	3	S8	142	4/05/2016	7/06/2016	34.00	NA	5
Denmark	3	S8	143	4/05/2016	7/06/2016	34.00	NA	6
Narrikup	3	S8	144	4/05/2016	7/06/2016	34.00	NA	4
Antas 	1	S8	127	4/05/2016	10/06/2016	37.00	NA	3
Leura	1	S8	128	4/05/2016	10/06/2016	37.00	NA	0
Denmark	1	S8	129	4/05/2016	10/06/2016	37.00	NA	0
Monti	1	S8	130	4/05/2016	10/06/2016	37.00	NA	7
Narrikup	1	S8	131	4/05/2016	10/06/2016	37.00	NA	8
Woogenellup	1	S8	132	4/05/2016	10/06/2016	37.00	NA	6
Denmark	2	S8	133	4/05/2016	10/06/2016	37.00	NA	8
Woogenellup	2	S8	134	4/05/2016	10/06/2016	37.00	NA	9
Narrikup	2	S8	135	4/05/2016	10/06/2016	37.00	NA	7
Leura	2	S8	136	4/05/2016	10/06/2016	37.00	NA	9
Monti	2	S8	137	4/05/2016	10/06/2016	37.00	NA	7
Antas 	2	S8	138	4/05/2016	10/06/2016	37.00	NA	9
Leura	3	S8	139	4/05/2016	10/06/2016	37.00	NA	8
Monti	3	S8	140	4/05/2016	10/06/2016	37.00	NA	9
Woogenellup	3	S8	141	4/05/2016	10/06/2016	37.00	NA	9
Antas 	3	S8	142	4/05/2016	10/06/2016	37.00	NA	10
Denmark	3	S8	143	4/05/2016	10/06/2016	37.00	NA	9
Narrikup	3	S8	144	4/05/2016	10/06/2016	37.00	NA	7
Antas 	1	S8	127	4/05/2016	17/06/2016	44.00	10	8
Leura	1	S8	128	4/05/2016	17/06/2016	44.00	10	7
Denmark	1	S8	129	4/05/2016	17/06/2016	44.00	10	5
Monti	1	S8	130	4/05/2016	17/06/2016	44.00	10	10
Narrikup	1	S8	131	4/05/2016	17/06/2016	44.00	10	10
Woogenellup	1	S8	132	4/05/2016	17/06/2016	44.00	10	9
Denmark	2	S8	133	4/05/2016	17/06/2016	44.00	10	10
Woogenellup	2	S8	134	4/05/2016	17/06/2016	44.00	10	10
Narrikup	2	S8	135	4/05/2016	17/06/2016	44.00	10	10
Leura	2	S8	136	4/05/2016	17/06/2016	44.00	10	9
Monti	2	S8	137	4/05/2016	17/06/2016	44.00	10	10
Antas 	2	S8	138	4/05/2016	17/06/2016	44.00	10	10
Leura	3	S8	139	4/05/2016	17/06/2016	44.00	10	9
Monti	3	S8	140	4/05/2016	17/06/2016	44.00	10	10
Woogenellup	3	S8	141	4/05/2016	17/06/2016	44.00	10	10
Antas 	3	S8	142	4/05/2016	17/06/2016	44.00	10	10
Denmark	3	S8	143	4/05/2016	17/06/2016	44.00	10	9
Antas 	1	S8	127	4/05/2016	22/06/2016	49.00	10	10
Antas 	1	S8	127	4/05/2016	22/06/2016	49.00	10	9
Leura	1	S8	128	4/05/2016	22/06/2016	49.00	10	8
Denmark	1	S8	129	4/05/2016	22/06/2016	49.00	10	7
Monti	1	S8	130	4/05/2016	22/06/2016	49.00	10	10
Narrikup	1	S8	131	4/05/2016	22/06/2016	49.00	10	10
Woogenellup	1	S8	132	4/05/2016	22/06/2016	49.00	10	10
Denmark	2	S8	133	4/05/2016	22/06/2016	49.00	10	10
Woogenellup	2	S8	134	4/05/2016	22/06/2016	49.00	10	10
Narrikup	2	S8	135	4/05/2016	22/06/2016	49.00	10	10
Leura	2	S8	136	4/05/2016	22/06/2016	49.00	10	10
Monti	2	S8	137	4/05/2016	22/06/2016	49.00	10	10
Antas 	2	S8	138	4/05/2016	22/06/2016	49.00	10	10
Leura	3	S8	139	4/05/2016	22/06/2016	49.00	10	10
Monti	3	S8	140	4/05/2016	22/06/2016	49.00	10	10
Woogenellup	3	S8	141	4/05/2016	22/06/2016	49.00	10	10
Antas 	3	S8	142	4/05/2016	22/06/2016	49.00	10	10
Denmark	3	S8	143	4/05/2016	22/06/2016	49.00	10	10
Narrikup	3	S8	144	4/05/2016	22/06/2016	49.00	10	10
Antas 	4	S8	127	4/05/2016	27/06/2016	54.00	10	10
Leura	5	S8	128	4/05/2016	27/06/2016	54.00	10	10
Denmark	6	S8	129	4/05/2016	27/06/2016	54.00	10	10
Monti	7	S8	130	4/05/2016	27/06/2016	54.00	10	10
Narrikup	8	S8	131	4/05/2016	27/06/2016	54.00	10	10
Woogenellup	9	S8	132	4/05/2016	27/06/2016	54.00	10	10
Denmark	10	S8	133	4/05/2016	27/06/2016	54.00	10	10
Woogenellup	11	S8	134	4/05/2016	27/06/2016	54.00	10	10
Narrikup	12	S8	135	4/05/2016	27/06/2016	54.00	10	10
Leura	13	S8	136	4/05/2016	27/06/2016	54.00	10	10
Monti	14	S8	137	4/05/2016	27/06/2016	54.00	10	10
Antas 	15	S8	138	4/05/2016	27/06/2016	54.00	10	10
Leura	16	S8	139	4/05/2016	27/06/2016	54.00	10	10
Monti	17	S8	140	4/05/2016	27/06/2016	54.00	10	10
Woogenellup	18	S8	141	4/05/2016	27/06/2016	54.00	10	10
Antas 	19	S8	142	4/05/2016	27/06/2016	54.00	10	10
Denmark	20	S8	143	4/05/2016	27/06/2016	54.00	10	10
Narrikup	21	S8	144	4/05/2016	27/06/2016	54.00	10	10
Antas 	22	S8	127	4/05/2016	27/06/2016	54.00	10	10
Leura	23	S8	128	4/05/2016	27/06/2016	54.00	10	10
Denmark	24	S8	129	4/05/2016	27/06/2016	54.00	10	10
Monti	25	S8	130	4/05/2016	27/06/2016	54.00	10	10
Narrikup	26	S8	131	4/05/2016	27/06/2016	54.00	10	10
Woogenellup	27	S8	132	4/05/2016	27/06/2016	54.00	10	10
Denmark	28	S8	133	4/05/2016	27/06/2016	54.00	10	10
Woogenellup	29	S8	134	4/05/2016	27/06/2016	54.00	10	10
Narrikup	30	S8	135	4/05/2016	27/06/2016	54.00	10	10
Leura	31	S8	136	4/05/2016	27/06/2016	54.00	10	10
Monti	32	S8	137	4/05/2016	27/06/2016	54.00	10	10
Antas 	33	S8	138	4/05/2016	27/06/2016	54.00	10	10
Leura	34	S8	139	4/05/2016	27/06/2016	54.00	10	10
Monti	35	S8	140	4/05/2016	27/06/2016	54.00	10	10
Woogenellup	36	S8	141	4/05/2016	27/06/2016	54.00	10	10
Antas 	37	S8	142	4/05/2016	27/06/2016	54.00	10	10
Denmark	38	S8	143	4/05/2016	27/06/2016	54.00	10	10
Narrikup	39	S8	144	4/05/2016	27/06/2016	54.00	10	10
Antas 	22	S8	127	4/05/2016	1/07/2016	58.00	10	10
Leura	23	S8	128	4/05/2016	1/07/2016	58.00	10	10
Denmark	24	S8	129	4/05/2016	1/07/2016	58.00	10	10
Monti	25	S8	130	4/05/2016	1/07/2016	58.00	10	10
Narrikup	26	S8	131	4/05/2016	1/07/2016	58.00	10	10
Woogenellup	27	S8	132	4/05/2016	1/07/2016	58.00	10	10
Denmark	28	S8	133	4/05/2016	1/07/2016	58.00	10	10
Woogenellup	29	S8	134	4/05/2016	1/07/2016	58.00	10	10
Narrikup	30	S8	135	4/05/2016	1/07/2016	58.00	10	10
Leura	31	S8	136	4/05/2016	1/07/2016	58.00	10	10
Monti	32	S8	137	4/05/2016	1/07/2016	58.00	10	10
Antas 	33	S8	138	4/05/2016	1/07/2016	58.00	10	10
Leura	34	S8	139	4/05/2016	1/07/2016	58.00	10	10
Monti	35	S8	140	4/05/2016	1/07/2016	58.00	10	10
Woogenellup	36	S8	141	4/05/2016	1/07/2016	58.00	10	10
Antas 	37	S8	142	4/05/2016	1/07/2016	58.00	10	10
Denmark	38	S8	143	4/05/2016	1/07/2016	58.00	10	10
Narrikup	39	S8	144	4/05/2016	1/07/2016	58.00	10	10
